Name,DoB,Age,Height,Weight,BMI,Reach,HR_Ratio,Style,City,Country,From,Trains
Keita Nakamura,1984-05-22,34,71,170,23.70759769886927,73.0,1.028169014084507,Southpaw,Tokyo,JPN,"Tokyo, JPN","Tokyo, JPN"
Anthony Smith,1988-07-26,30,76,205,24.95065789473684,76.0,1.0,Orthodox,Omaha,NE,"Omaha, NE","Omaha, NE"
Ray Borg,1993-08-04,25,64,125,21.453857421875,63.0,0.984375,Orthodox,Albuquerque,NM,"Albuquerque, NM","Albuquerque, NM"
Chad Laprise,1986-07-23,32,70,170,24.38979591836735,71.0,1.0142857142857142,Orthodox,Chatham,ON,"Chatham, ON","Chatham, ON"
Elias Theodorou,1988-05-31,30,73,185,24.405141677613067,75.5,1.0342465753424657,Orthodox,Toronto,ON,"Toronto, ON","Toronto, ON"
Sean Strickland,1991-02-27,27,73,170,22.426346406455245,76.0,1.0410958904109588,Orthodox,Corona,CA,"Corona, CA","Corona, CA"
Warlley Alves,1991-01-04,27,71,170,23.70759769886927,72.0,1.0140845070422535,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Henry Cejudo,1987-02-09,31,64,125,21.453857421875,64.0,1.0,Orthodox,Phoenix,AZ,"Phoenix, AZ","Phoenix, AZ"
Colby Covington,1988-02-22,30,71,170,23.70759769886927,72.0,1.0140845070422535,Orthodox,Fort Lauderdale,FL,"Fort Lauderdale, FL","Fort Lauderdale, FL"
Leon Edwards,1991-08-25,27,72,170,23.053626543209877,74.0,1.0277777777777777,Southpaw,Birmingham,GBR,"Birmingham, GBR","Birmingham, GBR"
Marlon Vera,1992-12-02,26,68,135,20.524437716262977,70.5,1.036764705882353,Switch,Chone,ECU,"Chone, ECU","Chone, ECU"
Joanne Calderwood,1985-12-23,33,66,125,20.17332415059688,65.5,0.9924242424242424,--,Glasgow,GBR,"Glasgow, GBR","Glasgow, GBR"
Randa Markos,1985-08-10,33,64,115,19.737548828125,63.5,0.9921875,Orthodox,Windsor,ON,"Windsor, ON","Windsor, ON"
Tecia Torres,1989-08-16,29,61,115,21.726686374630475,60.5,0.9918032786885246,Orthodox,Colorado Springs,CO,"Colorado Springs, CO","Colorado Springs, CO"
Stevie Ray,1990-03-25,28,70,155,22.23775510204081,70.0,1.0,Southpaw,Fife,GBR,"Fife, GBR","Fife, GBR"
Kamaru Usman,1987-05-11,31,72,170,23.053626543209877,76.0,1.0555555555555556,Switch,Dallas,TX,"Dallas, TX","Dallas, TX"
Vicente Luque,1991-11-27,27,71,170,23.70759769886927,75.5,1.0633802816901408,Orthodox,Brasilia,BRA,"Brasilia, BRA","Brasilia, DF"
Alexis Davis,1984-10-04,34,66,125,20.17332415059688,68.0,1.0303030303030305,Orthodox,Port Colborne,ON,"Port Colborne, ON","Port Colborne, ON"
Germaine de Randamie,1984-04-24,34,69,135,19.93383742911153,71.0,1.0289855072463767,Orthodox,Utrecht,NLD,"Utrecht, NLD","Utrecht, NLD"
Russell Doane,1986-08-13,32,67,135,21.14167966139452,70.5,1.0522388059701493,Orthodox,Honolulu,HI,"Honolulu, HI","Honolulu, HI"
Rony Jason,1984-03-21,34,67,145,22.707730006683008,70.0,1.044776119402985,Orthodox,Quixada,BRA,"Quixada, BRA","Quixada, CE"
Joe Proctor,1985-08-10,33,70,155,22.23775510204081,72.0,1.0285714285714285,Orthodox,Pembroke,MA,"Pembroke, MA","Pembroke, MA"
Justin Scoggins,1992-05-02,26,67,125,19.575629316106035,66.0,0.9850746268656716,Southpaw,Spartanburg,SC,"Spartanburg, SC","Spartanburg, SC"
Jon Tuck,1984-08-28,34,71,155,21.61575084308669,73.0,1.028169014084507,Orthodox,Hagatna,GUM,"Hagatna, GUM","Hagatna, GUM"
Eddie Alvarez,1984-01-11,34,69,155,22.88699852972065,69.0,1.0,Orthodox,Philadelphia,PA,"Philadelphia, PA","Philadelphia, PA"
Reza Madadi,1978-06-20,40,71,155,21.61575084308669,72.5,1.0211267605633805,Orthodox,Stockholm,SWE,"Stockholm, SWE","Stockholm, SWE"
Alex White,1988-10-22,30,72,155,21.01948302469136,71.5,0.9930555555555556,Southpaw,Farmington,MO,"Farmington, MO","Farmington, MO"
Chas Skelly,1985-05-11,33,71,145,20.221186272564967,72.5,1.0211267605633805,Orthodox,Arlington,TX,"Arlington, TX","Arlington, TX"
Nick Hein,1984-04-24,34,66,155,25.014921946740127,66.5,1.0075757575757576,Southpaw,Cologne,DEU,"Cologne, DEU","Cologne, DEU"
Brian Ortega,1991-02-21,27,68,145,22.044766435986162,69.0,1.0147058823529411,Switch,Los Angeles,CA,"Los Angeles, CA","Los Angeles, CA"
Claudia Gadelha,1988-12-07,30,64,115,19.737548828125,63.5,0.9921875,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Rob Font,1987-06-25,31,68,135,20.524437716262977,71.5,1.0514705882352942,Orthodox,Woburn,MA,"Woburn, MA","Woburn, MA"
Holly Holm,1981-10-17,37,68,145,22.044766435986162,69.0,1.0147058823529411,Southpaw,Albuquerque,NM,"Albuquerque, NM","Albuquerque, NM"
Frankie Saenz,1980-08-12,38,66,135,21.787190082644628,66.0,1.0,Orthodox,Scottsdale,AZ,"Scottsdale, AZ","Scottsdale, AZ"
Alejandro Perez,1989-09-02,29,66,135,21.787190082644628,67.0,1.0151515151515151,Orthodox,Toluca de Lerdo,MEX,"Toluca de Lerdo, MEX","Toluca de Lerdo, MEX"
Yair Rodriguez,1992-10-06,26,71,145,20.221186272564967,71.0,1.0,--,Parral,MEX,"Parral, MEX","Parral, MEX"
Jared Cannonier,1984-03-16,34,71,185,25.799444554651853,77.5,1.091549295774648,Switch,Glendale,AZ,"Glendale, AZ","Glendale, AZ"
Renato Moicano,1989-05-21,29,71,145,20.221186272564967,72.0,1.0140845070422535,Orthodox,Brasilia,BRA,"Brasilia, BRA","Brasilia, DF"
Marion Reneau,1977-06-20,41,66,135,21.787190082644628,68.0,1.0303030303030305,Orthodox,Visalia,CA,"Visalia, CA","Visalia, CA"
Francis Ngannou,1986-09-05,32,76,250,30.427631578947373,83.0,1.0921052631578947,Orthodox,Batie,CMR,"Batie, CMR","Batie, CMR"
Jason Knight,1992-07-14,26,70,145,20.803061224489795,71.0,1.0142857142857142,Orthodox,D'Iberville,MS,"D'Iberville, MS","D'Iberville, MS"
Belal Muhammad,1988-07-09,30,71,170,23.70759769886927,72.0,1.0140845070422535,Orthodox,Chicago,IL,"Chicago, IL","Chicago, IL"
Mike Perry,1991-09-15,27,70,170,24.38979591836735,71.0,1.0142857142857142,Orthodox,Orlando,FL,"Orlando, FL","Orlando, FL"
Siyar Bahadurzada,1984-04-17,34,71,170,23.70759769886927,73.0,1.028169014084507,Orthodox,Amsterdam,NLD,"Amsterdam, NLD","Amsterdam, NLD"
Bethe Correia,1983-06-22,35,65,135,22.46272189349112,64.0,0.9846153846153848,Orthodox,Campina Grande,BRA,"Campina Grande, BRA","Campina Grande, PB"
Hacran Dias,1984-06-16,34,68,155,23.565095155709344,69.0,1.0147058823529411,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Mitch Gagnon,1984-10-10,34,65,135,22.46272189349112,65.5,1.0076923076923077,Southpaw,Sudbury,ON,"Sudbury, ON","Sudbury, ON"
Chan Sung Jung,1987-03-17,31,67,145,22.707730006683008,72.0,1.0746268656716418,Orthodox,Seoul,KOR,"Seoul, KOR","Seoul, KOR"
Hyun Gyu Lim,1985-01-16,33,75,170,21.246222222222226,77.0,1.0266666666666666,Orthodox,Seoul,KOR,"Seoul, KOR","Seoul, KOR"
Jordan Mein,1989-10-10,29,72,170,23.053626543209877,73.0,1.0138888888888888,Orthodox,Lethbridge,AB,"Lethbridge, AB","Lethbridge, AB"
Alan Patrick,1983-07-19,35,71,155,21.61575084308669,74.0,1.0422535211267605,Southpaw,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Ronda Rousey,1987-02-01,31,67,135,21.14167966139452,68.0,1.0149253731343284,Orthodox,Venice,CA,"Venice, CA","Venice, CA"
Leonardo Santos,1980-02-05,38,72,155,21.01948302469136,75.0,1.0416666666666667,Orthodox,Campos dos Goytacazes,BRA,"Campos dos Goytacazes, BRA","Campos dos Goytacazes, RJ"
Bradley Scott,1989-06-24,29,73,170,22.426346406455245,76.0,1.0410958904109588,--,Melksham,GBR,"Melksham, GBR","Melksham, GBR"
George Sullivan,1981-03-13,37,72,170,23.053626543209877,73.5,1.0208333333333333,Orthodox,Belmar,NJ,"Belmar, NJ","Belmar, NJ"
Marcos Rogerio de Lima,1985-06-25,33,73,205,27.043535372490147,75.0,1.0273972602739727,Orthodox,Sao Paulo,BRA,"Sao Paulo, BRA","Sao Paulo, SP"
Neil Seery,1979-08-30,39,64,125,21.453857421875,64.5,1.0078125,Orthodox,Dublin,IRL,"Dublin, IRL","Dublin, IRL"
Vitor Miranda,1979-03-10,39,73,185,24.405141677613067,77.0,1.0547945205479452,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Joe Soto,1987-03-22,31,66,135,21.787190082644628,65.0,0.9848484848484848,Orthodox,Porterville,CA,"Porterville, CA","Porterville, CA"
Paige VanZant,1994-03-26,24,64,115,19.737548828125,65.0,1.015625,Orthodox,Reno,NV,"Reno, NV","Reno, NV"
Thomas Almeida,1991-07-31,27,67,135,21.14167966139452,70.0,1.044776119402985,Southpaw,Sao Paulo,BRA,"Sao Paulo, BRA","Sao Paulo, SP"
Ashlee Evans-Smith,1987-07-09,31,68,125,19.004108996539788,67.0,0.9852941176470588,Orthodox,Santa Ana,CA,"Santa Ana, CA","Santa Ana, CA"
Carla Esparza,1987-10-10,31,61,115,21.726686374630475,63.0,1.0327868852459017,--,Irvine,CA,"Irvine, CA","Irvine, CA"
Felice Herrig,1984-09-18,34,64,115,19.737548828125,65.0,1.015625,Orthodox,Crystal Lake,IL,"Crystal Lake, IL","Crystal Lake, IL"
Angela Hill,1985-01-12,33,63,115,20.369110607205844,64.5,1.0238095238095235,Orthodox,Clinton,MD,"Clinton, MD","Clinton, MD"
Rose Namajunas,1992-06-29,26,65,115,19.13491124260355,65.0,1.0,Orthodox,Denver,CO,"Denver, CO","Denver, CO"
Bec Rawlings,1989-02-11,29,66,125,20.17332415059688,64.0,0.9696969696969696,Orthodox,Brisbane,AUS,"Brisbane, AUS","Brisbane, QLD"
Cody Garbrandt,1991-07-07,27,68,135,20.524437716262977,65.5,0.9632352941176472,Orthodox,Sacramento,CA,"Sacramento, CA","Sacramento, CA"
Elizeu Zaleski dos Santos,1986-12-11,32,71,170,23.70759769886927,73.0,1.028169014084507,Orthodox,Francisco Beltrao,BRA,"Francisco Beltrao, BRA","Francisco Beltrao, PR"
Scott Holtzman,1983-09-30,35,69,155,22.88699852972065,69.0,1.0,Orthodox,Knoxville,TN,"Knoxville, TN","Knoxville, TN"
Jimmie Rivera,1989-06-29,29,64,135,23.170166015625,68.5,1.0703125,Orthodox,Ramsey,NJ,"Ramsey, NJ","Ramsey, NJ"
Sage Northcutt,1996-03-01,22,72,170,23.053626543209877,71.5,0.9930555555555556,Orthodox,Katy,TX,"Katy, TX","Katy, TX"
Teruto Ishihara,1991-07-23,27,67,135,21.14167966139452,69.0,1.0298507462686568,Southpaw,Osaka,JPN,"Osaka, JPN","Osaka, JPN"
Karolina Kowalkiewicz,1985-10-15,33,63,115,20.369110607205844,64.0,1.0158730158730158,Orthodox,Lodz,POL,"Lodz, POL","Lodz, POL"
Randy Brown,1990-07-08,28,75,170,21.246222222222226,78.0,1.04,Orthodox,Spanish Town,JAM,"Spanish Town, JAM","Spanish Town, JAM"
Curtis Blaydes,1991-02-18,27,76,265,32.25328947368421,80.0,1.0526315789473684,Orthodox,Chicago,IL,"Chicago, IL","Chicago, IL"
Jack Hermansson,1988-06-10,30,73,185,24.405141677613067,77.5,1.0616438356164384,Orthodox,Uddevalla,SWE,"Uddevalla, SWE","Uddevalla, SWE"
Niko Price,1989-09-29,29,72,170,23.053626543209877,76.0,1.0555555555555556,Orthodox,Cape Coral,FL,"Cape Coral, FL","Cape Coral, FL"
Ryan Benoit,1989-08-25,29,65,125,20.798816568047336,68.5,1.053846153846154,Orthodox,Dallas,TX,"Dallas, TX","Dallas, TX"
Magnus Cedenblad,1982-04-10,36,77,185,21.935402260077588,79.0,1.025974025974026,Orthodox,Stockholm,SWE,"Stockholm, SWE","Stockholm, SWE"
Mitch Clarke,1985-11-24,33,70,155,22.23775510204081,73.0,1.042857142857143,Orthodox,Edmonton,AB,"Edmonton, AB","Edmonton, AB"
Johnny Eduardo,1978-08-03,40,67,135,21.14167966139452,71.0,1.0597014925373134,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Jimy Hettes,1987-06-09,31,69,145,21.41041797941609,71.0,1.0289855072463767,Southpaw,Swoyersville,PA,"Swoyersville, PA","Swoyersville, PA"
Kyung Ho Kang,1987-09-09,31,69,135,19.93383742911153,72.0,1.0434782608695652,Orthodox,Busan,KOR,"Busan, KOR","Busan, KOR"
Rashid Magomedov,1984-11-29,34,69,155,22.88699852972065,70.5,1.0217391304347827,Orthodox,Makhachkala,RUS,"Makhachkala, RUS","Makhachkala, RUS"
Adriano Martins,1982-12-16,36,70,155,22.23775510204081,72.0,1.0285714285714285,Southpaw,Manaus,COL,"Manaus, COL","Manaus, BRA"
Ian McCall,1984-05-07,34,65,125,20.798816568047336,64.0,0.9846153846153848,Orthodox,Irvine,CA,"Irvine, CA","Irvine, CA"
Gilbert Melendez,1982-04-12,36,69,145,21.41041797941609,73.0,1.0579710144927537,Orthodox,Santa Ana,CA,"Santa Ana, CA","Santa Ana, CA"
Cat Zingano,1982-07-01,36,66,145,23.401056014692372,68.0,1.0303030303030305,Southpaw,Denver,CO,"Denver, CO","Denver, CO"
Mizuto Hirota,1981-05-05,37,67,155,24.27378035197148,67.5,1.007462686567164,Orthodox,Tokyo,JPN,"Tokyo, JPN","Tokyo, JPN"
Leslie Smith,1982-08-17,36,69,135,19.93383742911153,66.0,0.9565217391304348,Orthodox,Pleasant Hill,CA,"Pleasant Hill, CA","Pleasant Hill, CA"
Kajan Johnson,1984-04-21,34,71,155,21.61575084308669,75.5,1.0633802816901408,Orthodox,Vancouver,BC,"Vancouver, BC","Vancouver, BC"
Jason Saggo,1985-11-23,33,71,155,21.61575084308669,71.0,1.0,Orthodox,Charlottetown,PE,"Charlottetown, PE","Charlottetown, PE"
Dhiego Lima,1989-01-31,29,74,170,21.824324324324326,74.5,1.0067567567567568,Orthodox,Atlanta,GA,"Atlanta, GA","Atlanta, GA"
Juliana Lima,1982-03-15,36,65,115,19.13491124260355,65.5,1.0076923076923077,Orthodox,Belo Horizonte,BRA,"Belo Horizonte, BRA","Belo Horizonte, MG"
Lauren Murphy,1983-07-27,35,67,125,19.575629316106035,67.0,1.0,Orthodox,Glendale,AZ,"Glendale, AZ","Glendale, AZ"
Henry Briones,1980-10-22,38,68,135,20.524437716262977,69.0,1.0147058823529411,--,Tijuana,MEX,"Tijuana, MEX","Tijuana, MEX"
Gabriel Benitez,1988-06-15,30,68,145,22.044766435986162,71.0,1.0441176470588236,Southpaw,Tijuana,MEX,"Tijuana, MEX","Tijuana, MEX"
Jake Collier,1988-10-25,30,75,205,25.620444444444445,78.5,1.0466666666666666,Orthodox,Cuba,MO,"Cuba, MO","Cuba, MO"
Islam Makhachev,1991-10-27,27,70,155,22.23775510204081,70.5,1.0071428571428571,Orthodox,Makhachkala,RUS,"Makhachkala, RUS","Makhachkala, RUS"
Damian Stasiak,1990-02-20,28,65,135,22.46272189349112,70.0,1.0769230769230769,Orthodox,Lodz,POL,"Lodz, POL","Lodz, POL"
Ben Nguyen,1988-08-03,30,65,125,20.798816568047336,65.0,1.0,Switch,Brisbane,AUS,"Brisbane, AUS","Brisbane, QLD"
Darren Till,1992-12-24,26,72,170,23.053626543209877,74.5,1.0347222222222223,Southpaw,Liverpool,GBR,"Liverpool, GBR","Liverpool, GBR"
Misha Cirkunov,1987-02-27,31,75,205,25.620444444444445,77.0,1.0266666666666666,Orthodox,Toronto,ON,"Toronto, ON","Toronto, ON"
Joaquim Silva,1989-02-05,29,68,155,23.565095155709344,69.0,1.0147058823529411,--,Curitiba,BRA,"Curitiba, BRA","Curitiba, PR"
Danny Roberts,1987-07-14,31,73,170,22.426346406455245,74.0,1.0136986301369864,Southpaw,Liverpool,GBR,"Liverpool, GBR","Liverpool, GBR"
Enrique Barzola,1989-04-28,29,67,145,22.707730006683008,70.0,1.044776119402985,--,Lima,PER,"Lima, PER","Lima, PER"
Artem Lobov,1986-08-11,32,69,145,21.41041797941609,65.0,0.9420289855072465,Southpaw,Nizhny,RUS,"Nizhny, RUS","Nizhny, RUS"
Valentina Shevchenko,1988-03-07,30,65,125,20.798816568047336,67.0,1.0307692307692309,Southpaw,Bishkek,KGZ,"Bishkek, KGZ","Bishkek, KGZ"
Alex Morono,1990-08-16,28,71,170,23.70759769886927,72.0,1.0140845070422535,Orthodox,Houston,TX,"Houston, TX","Houston, TX"
Marcin Tybura,1985-11-09,33,75,249,31.11946666666667,78.0,1.04,Orthodox,Uniejow,POL,"Uniejow, POL","Uniejow, POL"
Josh Emmett,1985-03-04,33,66,145,23.401056014692372,70.0,1.0606060606060606,Orthodox,Sacramento,CA,"Sacramento, CA","Sacramento, CA"
Chase Sherman,1989-11-16,29,76,250,30.427631578947373,78.0,1.0263157894736843,Orthodox,D'Iberville,MS,"D'Iberville, MS","D'Iberville, MS"
Max Griffin,1985-11-29,33,71,170,23.70759769886927,76.0,1.0704225352112675,Orthodox,Sacramento,CA,"Sacramento, CA","Sacramento, CA"
Zak Ottow,1986-12-22,32,71,170,23.70759769886927,72.0,1.0140845070422535,Orthodox,Milwaukee,WI,"Milwaukee, WI","Milwaukee, WI"
Darren Stewart,1990-12-30,27,72,185,25.087770061728396,74.0,1.0277777777777777,Orthodox,London,GBR,"London, GBR","London, GBR"
Dominick Cruz,1985-03-09,33,68,135,20.524437716262977,68.0,1.0,Orthodox,San Diego,CA,"San Diego, CA","San Diego, CA"
Todd Duffee,1985-12-06,33,75,260,32.49422222222222,79.0,1.0533333333333332,Orthodox,Boca Raton,FL,"Boca Raton, FL","Boca Raton, FL"
Kiichi Kunimoto,1981-05-01,37,70,170,24.38979591836735,71.5,1.0214285714285714,Orthodox,Osaka,JPN,"Osaka, JPN","Osaka, JPN"
Nico Musoke,1986-04-05,32,72,170,23.053626543209877,75.0,1.0416666666666667,Orthodox,Stockholm,SWE,"Stockholm, SWE","Stockholm, SWE"
Vinc Pichel,1982-11-23,36,70,155,22.23775510204081,72.0,1.0285714285714285,Orthodox,Simi Valley,CA,"Simi Valley, CA","Simi Valley, CA"
Tarec Saffiedine,1986-09-06,32,70,170,24.38979591836735,70.0,1.0,Switch,Brussels,BEL,"Brussels, BEL","Brussels, BEL"
Douglas Silva de Andrade,1985-06-22,33,67,135,21.14167966139452,68.0,1.0149253731343284,Orthodox,Castanhal,BRA,"Castanhal, BRA","Castanhal, PA"
Zubaira Tukhugov,1991-01-15,27,68,145,22.044766435986162,68.0,1.0,Orthodox,Grozny,RUS,"Grozny, RUS","Grozny, RUS"
Chris Gruetzemacher,1986-06-16,32,68,155,23.565095155709344,68.0,1.0,Orthodox,New Bern,NC,"New Bern, NC","New Bern, NC"
Luke Sanders,1985-12-12,33,66,135,21.787190082644628,67.0,1.0151515151515151,Southpaw,Nashville,TN,"Nashville, TN","Nashville, TN"
Dominique Steele,1988-01-27,30,70,170,24.38979591836735,74.0,1.0571428571428572,Orthodox,Cincinnati,OH,"Cincinnati, OH","Cincinnati, OH"
Michelle Waterson,1986-01-06,32,63,115,20.369110607205844,62.0,0.984126984126984,Orthodox,Albuquerque,NM,"Albuquerque, NM","Albuquerque, NM"
Alexander Yakovlev,1984-07-18,34,75,170,21.246222222222226,74.0,0.9866666666666668,Southpaw,Veliky Novgorod,RUS,"Veliky Novgorod, RUS","Veliky Novgorod, RUS"
Ruslan Magomedov,1986-11-26,32,75,242,30.24462222222223,78.0,1.04,Orthodox,Makhachkala,RUS,"Makhachkala, RUS","Makhachkala, RUS"
Johnny Case,1989-06-28,29,70,155,22.23775510204081,72.5,1.0357142857142858,Orthodox,Jefferson,IA,"Jefferson, IA","Jefferson, IA"
Sarah Moras,1988-04-30,30,67,135,21.14167966139452,67.0,1.0,--,Sechelt,BC,"Sechelt, BC","Sechelt, BC"
Mirsad Bektic,1991-02-16,27,68,145,22.044766435986162,70.0,1.0294117647058822,Orthodox,Montreal,PQ,"Montreal, PQ","Montreal, PQ"
Nina Ansaroff,1985-12-03,33,65,115,19.13491124260355,64.0,0.9846153846153848,Orthodox,Weston,FL,"Weston, FL","Weston, FL"
Marco Beltran,1986-05-18,32,68,125,19.004108996539788,69.5,1.0220588235294117,Orthodox,Mexico City,BRA,"Mexico City, BRA","Mexico City, DF"
Jessica Penne,1983-01-30,35,65,115,19.13491124260355,67.0,1.0307692307692309,--,Huntington Beach,CA,"Huntington Beach, CA","Huntington Beach, CA"
Sultan Aliev,1984-09-17,34,71,170,23.70759769886927,74.5,1.0492957746478873,Orthodox,Derbent,RUS,"Derbent, RUS","Derbent, RUS"
Maryna Moroz,1991-09-08,27,67,115,18.009578970817554,67.0,1.0,Orthodox,Volnogorsk,UKR,"Volnogorsk, UKR","Volnogorsk, UKR"
Tom Breese,1991-09-26,27,75,185,23.12088888888889,73.5,0.98,Southpaw,Birmingham,GBR,"Birmingham, GBR","Birmingham, GBR"
Arnold Allen,1994-01-22,24,68,145,22.044766435986162,70.0,1.0294117647058822,Southpaw,Trimley St. Martin,GBR,"Trimley St. Martin, GBR","Trimley St. Martin, GBR"
Andrew Holbrook,1986-02-06,32,71,155,21.61575084308669,70.0,0.9859154929577464,Southpaw,Indianapolis,IN,"Indianapolis, IN","Indianapolis, IN"
David Teymur,1989-05-01,29,69,155,22.88699852972065,73.0,1.0579710144927537,Southpaw,Stockholm,SWE,"Stockholm, SWE","Stockholm, SWE"
Kyle Bochniak,1987-02-05,31,67,145,22.707730006683008,70.0,1.044776119402985,Orthodox,Boston,MA,"Boston, MA","Boston, MA"
Mickey Gall,1992-01-22,26,74,170,21.824324324324326,74.0,1.0,Switch,Green Brook,NJ,"Green Brook, NJ","Green Brook, NJ"
Bojan Velickovic,1988-12-18,30,72,170,23.053626543209877,76.0,1.0555555555555556,Southpaw,Novi Sad,SRB,"Novi Sad, SRB","Novi Sad, SRB"
Alessio Di Chirico,1989-12-12,29,72,185,25.087770061728396,74.0,1.0277777777777777,Orthodox,Rome,ITA,"Rome, ITA","Rome, ITA"
Thibault Gouti,1987-02-27,31,70,155,22.23775510204081,72.5,1.0357142857142858,Orthodox,Toulouse,FRA,"Toulouse, FRA","Toulouse, FRA"
Damien Brown,1984-12-25,34,70,155,22.23775510204081,68.5,0.9785714285714284,Orthodox,Brisbane,AUS,"Brisbane, AUS","Brisbane, QLD"
Ion Cutelaba,1993-12-14,25,73,205,27.043535372490147,75.0,1.0273972602739727,Southpaw,Chisinau,MDA,"Chisinau, MDA","Chisinau, MDA"
Devin Clark,1990-04-12,28,72,205,27.79996141975309,75.0,1.0416666666666667,Orthodox,Sioux Falls,SD,"Sioux Falls, SD","Sioux Falls, SD"
Matthew Lopez,1987-01-21,31,67,135,21.14167966139452,69.0,1.0298507462686568,Southpaw,Denver,CO,"Denver, CO","Denver, CO"
Eric Spicely,1986-09-29,32,73,185,24.405141677613067,73.0,1.0,Orthodox,Olneyville,RI,"Olneyville, RI","Olneyville, RI"
Katlyn Chookagian,1988-12-28,29,69,125,18.457256878806973,68.0,0.9855072463768116,Orthodox,Kenilworth,NJ,"Kenilworth, NJ","Kenilworth, NJ"
Amanda Cooper,1991-10-22,27,63,115,20.369110607205844,64.0,1.0158730158730158,Switch,Bath,MI,"Bath, MI","Bath, MI"
Jeremy Kennedy,1992-09-16,26,71,145,20.221186272564967,71.0,1.0,Orthodox,Surrey,BC,"Surrey, BC","Surrey, BC"
Lina Lansberg,1982-03-13,36,67,135,21.14167966139452,65.5,0.9776119402985076,Orthodox,Malmo,SWE,"Malmo, SWE","Malmo, SWE"
Alexa Grasso,1993-08-09,25,65,115,19.13491124260355,66.0,1.015384615384615,Orthodox,Guadalajara,MEX,"Guadalajara, MEX","Guadalajara, MEX"
Albert Morales,1991-05-25,27,69,135,19.93383742911153,72.0,1.0434782608695652,Orthodox,Reseda,CA,"Reseda, CA","Reseda, CA"
Rick Glenn,1989-04-12,29,72,145,19.663387345679013,70.5,0.9791666666666666,Southpaw,Sacramento,CA,"Sacramento, CA","Sacramento, CA"
Marc Diakiese,1993-03-16,25,70,155,22.23775510204081,73.0,1.042857142857143,Orthodox,,,--,"--, COD"
Mark Godbeer,1983-11-22,35,76,240,29.210526315789476,77.5,1.0197368421052628,Orthodox,Bridgwater,GBR,"Bridgwater, GBR","Bridgwater, GBR"
Tyson Pedro,1991-09-17,27,75,205,25.620444444444445,79.0,1.0533333333333332,Orthodox,Sydney,AUS,"Sydney, AUS","Sydney, NSW"
Gerald Meerschaert,1987-12-18,31,73,185,24.405141677613067,77.5,1.0616438356164384,Southpaw,Milwaukee,WI,"Milwaukee, WI","Milwaukee, WI"
Volkan Oezdemir,1989-09-19,29,74,205,26.317567567567572,75.0,1.0135135135135136,Orthodox,Fribourg,CHE,"Fribourg, CHE","Fribourg, CHE"
Cynthia Calvillo,1987-07-13,31,64,115,19.737548828125,64.0,1.0,Orthodox,Sacramento,CA,"Sacramento, CA","Sacramento, CA"
Brian Kelleher,1986-08-19,32,66,135,21.787190082644628,66.0,1.0,Switch,Selden,NY,"Selden, NY","Selden, NY"
Eryk Anders,1987-04-21,31,73,185,24.405141677613067,75.0,1.0273972602739727,Southpaw,Birmingham,AL,"Birmingham, AL","Birmingham, AL"
Tae Hyun Bang,1983-04-15,35,69,155,22.88699852972065,71.0,1.0289855072463767,Switch,Seoul,KOR,"Seoul, KOR","Seoul, KOR"
Claudio Silva,1982-09-06,36,71,170,23.70759769886927,71.0,1.0,Southpaw,Rondonopolis,BRA,"Rondonopolis, BRA","Rondonopolis, MT"
Antonio Braga Neto,1987-10-29,31,75,185,23.12088888888889,77.0,1.0266666666666666,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Julianna Pena,1989-08-19,29,66,135,21.787190082644628,69.0,1.0454545454545454,--,Spokane,WA,"Spokane, WA","Spokane, WA"
Norifumi Yamamoto,1977-03-15,41,64,135,23.170166015625,66.0,1.03125,Southpaw,Tokyo,JPN,"Tokyo, JPN","Tokyo, JPN"
Steve Bosse,1981-07-29,37,71,205,28.5885736956953,72.0,1.0140845070422535,Orthodox,St-Jean Sur Richelieu,PQ,"St-Jean Sur Richelieu, PQ","St-Jean Sur Richelieu, PQ"
Patrick Williams,1981-09-07,37,68,135,20.524437716262977,73.0,1.0735294117647058,Orthodox,Homestead,FL,"Homestead, FL","Homestead, FL"
Shinsho Anzai,1985-12-01,33,67,170,26.622855869904214,70.5,1.0522388059701493,Orthodox,Tokyo,JPN,"Tokyo, JPN","Tokyo, JPN"
Joby Sanchez,1991-06-24,27,66,135,21.787190082644628,68.0,1.0303030303030305,Orthodox,Albuquerque,NM,"Albuquerque, NM","Albuquerque, NM"
Charles Rosa,1986-08-24,32,69,145,21.41041797941609,69.0,1.0,Switch,Peabody,MA,"Peabody, MA","Peabody, MA"
Christos Giagos,1990-01-23,28,70,155,22.23775510204081,71.5,1.0214285714285714,Orthodox,Hawthorne,CA,"Hawthorne, CA","Hawthorne, CA"
